ticker,name,sector
AAPL,Apple,Technology
MSFT,Microsoft,Technology
NVDA,Nvidia,Semiconductors
TSLA,Tesla,Automotive
INTC,Intel,Semiconductors
JPM,JP Morgan,Finance
AMZN,Amazon,Consumer Discretionary
BB,BlackBerry,Technology
HD,Home Depot,Retail
GS,Goldman Sachs,Finance
META,Meta,Technology
ABF.L,Primark,Retail
GOOGL,Google,Technology
AMD,AMD,Semiconductors
NFLX,Netflix,Communication Services
V,Visa,Finance
BAC,Bank of America,Finance
DIS,Disney,Entertainment
WMT,Walmart,Retail
COST,Costco,Retail
IBM,IBM,Technology
NRG,NRG Energy,Energy
GNE,Genie Energy,Energy
VERX,Vertex,Technology
BWIN,Baldwin Insurance Group,Financial Services
SNFCA,Security National Financial,Financial Services
ING,ING Group,Financial Services
BKNIY,Bankinter,Financial Services
GAP,Gap Inc.,Consumer Cyclical
PRCH,Porch Group,Technology
CXAI,CXApp Inc.,Technology
KGDEY,Kingdee International,Technology
